device_id,brand,os,usage_type,battery_capacity_wh,cpu_tdp_w,ram_gb,screen_size_inch,refresh_rate_hz,brightness_percent,cpu_usage_percent,gpu_usage_percent,wifi_on,bluetooth_on,temperature_c,battery_age_months,battery_health_percent,battery_life_hours
LAP00001,MSI,Windows,Office,58.3,25.3,8,15.7,120,58,100,4,1,1,43.8,51,92.4,2.57
LAP00002,ASUS,Linux,Office,76.9,33.4,64,15.9,90,99,46,84,1,1,44.0,13,98.1,3.55
LAP00003,Acer,Windows,Coding,95.7,54.5,16,13.8,90,60,63,71,1,1,40.9,26,90.9,2.99
LAP00004,MSI,Linux,Gaming,31.7,31.6,16,16.9,144,86,40,6,1,0,36.1,20,92.8,1.12
LAP00005,Lenovo,Windows,Office,76.3,16.3,16,14.9,165,55,38,38,1,1,39.6,22,96.4,4.04
LAP00006,Acer,macOS,Coding,54.4,8.0,16,17.1,60,23,6,1,1,1,28.0,34,89.6,5.0
LAP00007,Acer,Windows,Office,42.9,33.1,32,15.6,90,93,17,42,1,1,35.2,47,93.1,2.6
LAP00008,MSI,Windows,Video,60.5,26.0,8,17.3,165,32,47,11,1,0,36.3,7,100.0,2.56
LAP00009,Dell,Windows,Gaming,35.5,8.5,8,15.8,75,89,78,27,0,1,36.0,58,86.0,1.88
LAP00010,Lenovo,Linux,Gaming,36.4,39.1,8,14.7,60,26,61,18,1,1,38.7,11,94.6,1.16
LAP00011,MSI,Windows,Gaming,30.0,33.7,4,17.0,144,47,11,27,1,1,33.3,27,93.3,1.22
LAP00012,Lenovo,Windows,Browsing,63.2,24.9,16,15.2,144,78,63,98,0,1,47.9,40,87.7,3.22
LAP00013,Lenovo,Windows,Video,59.9,51.2,32,15.8,144,56,63,75,1,1,45.0,32,89.3,1.51
LAP00014,Acer,Windows,Video,42.8,37.3,16,15.1,60,34,55,91,1,1,48.1,32,91.1,1.71
LAP00015,ASUS,Windows,Browsing,77.9,13.1,64,14.2,75,49,7,89,1,1,39.1,8,94.6,7.59
LAP00016,Lenovo,Linux,Gaming,45.1,39.1,32,14.8,60,93,31,69,1,1,36.3,14,98.3,1.66
LAP00017,Apple,Windows,Browsing,74.2,28.1,16,16.0,60,31,82,18,1,0,39.9,9,97.0,4.62
LAP00018,Acer,Windows,Coding,56.8,47.7,16,16.4,75,100,58,63,1,1,45.0,48,91.8,1.79
LAP00019,Dell,Windows,Browsing,44.9,36.3,16,12.2,60,49,98,90,1,1,51.4,1,98.1,2.11
LAP00020,ASUS,Windows,Office,53.3,30.8,8,15.4,75,20,68,8,1,0,41.0,2,98.0,2.95
LAP00021,Apple,Windows,Video,36.2,30.1,16,14.9,120,55,38,40,1,1,40.3,22,94.9,1.58
LAP00022,Apple,Windows,Coding,58.3,10.7,16,13.1,144,40,27,49,1,1,38.1,9,99.0,3.88
LAP00023,Dell,Windows,Office,55.5,18.9,16,16.2,60,51,52,9,1,0,37.4,18,92.3,4.39
